results/business_status,results/geometry/location/lat,results/geometry/location/lng,results/geometry/viewport/northeast/lat,results/geometry/viewport/northeast/lng,results/geometry/viewport/southwest/lat,results/geometry/viewport/southwest/lng,results/icon,results/icon_background_color,results/icon_mask_base_uri,results/name,results/opening_hours/open_now,results/photos/0/height,results/photos/0/html_attributions/0,results/photos/0/photo_reference,results/photos/0/width,results/place_id,results/plus_code/compound_code,results/plus_code/global_code,results/price_level,results/rating,results/reference,results/scope,results/types/0,results/types/1,results/types/2,results/types/3,results/user_ratings_total,results/vicinity,results/types/4,results/types/5,results/types/6,results/permanently_closed
OPERATIONAL,43.8990984,-79.395254,43.90054407989272,-79.39368632010728,43.89784442010728,-79.39638597989271,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Chatime,true,384,"<a href=""https://maps.google.com/maps/contrib/102811503176511479499"">A Google User</a>",Aap_uECgDwIiC8XGoNAAQI8O1nkFYyI-XYpM4rCGZoCWNsUJdYUXS_mJhuz4hYfYePNfWsFs1gPoskbBYRJ55VjiTLolJGq9ikNc89X4MscQIrkQQpornYm49oq64oJLGVfLovuKn0xk8YDjVy6Fc2aiFeUML8WcAUkpWSmiMF4clCOB7PEp,512,ChIJr5MVZScrK4gRIqkNSHG0wk0,"VJX3+JV Richmond Hill, Ontario",87M2VJX3+JV,1,4,ChIJr5MVZScrK4gRIqkNSHG0wk0,GOOGLE,cafe,food,point_of_interest,establishment,166,"1500 Elgin Mills Rd E Unit #106, Richmond Hill",,,,
OPERATIONAL,43.8063866,-79.42353390000001,43.80779657989272,-79.42227312010728,43.80509692010727,-79.42497277989271,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Bubble Tea & Me,true,1424,"<a href=""https://maps.google.com/maps/contrib/102530195541569339214"">Bubble Tea &amp; Me</a>",Aap_uEC40pjIBO4sEB8x7o58vYg_Kqcy_o5EG1mmUOKcxCYiXHHrHnoFGunAnPFnagluSUj8k5IAODobWlY1gcKG9p7xSZs4tbSbII278RgcIqwY0D03Vr4NWVAcu4SwpN0024zIw2PNFqcMPfaJP9tt5YKFuvoOD0g2uMbUHVknw2YDpvAr,2530,ChIJGQ1WD_csK4gRpp-wMikV6wI,"RH4G+HH Vaughan, Ontario",87M2RH4G+HH,1,4.3,ChIJGQ1WD_csK4gRpp-wMikV6wI,GOOGLE,meal_takeaway,cafe,restaurant,food,289,"7330 Yonge St #107, Thornhill",point_of_interest,store,establishment,
OPERATIONAL,43.8956929,-79.4435757,43.89705197989272,-79.44215432010726,43.89435232010727,-79.44485397989271,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Golden Bubbles Richmond Hill,true,3957,"<a href=""https://maps.google.com/maps/contrib/112716548708874014690"">A Google User</a>",Aap_uEAJcyCTYO-eSXre3qNBs5DlMAckDbQ0yFK3AXKaIIkVKQMN2joCHkoWcQ86TbAnIclXVge6uS9RyCBt696nyV9BrUvOA1u-rE7ByiguPPh20kD0QkmNTuZRLD3bxfjKcBnfzTYzTo3zKZPV9YBajxnAMPF_ozjgof9AuJGk4Mf7hwSv,3166,ChIJ40RT1forK4gRYc2vnevh4vE,"VHW4+7H Richmond Hill, Ontario",87M2VHW4+7H,,4.2,ChIJ40RT1forK4gRYc2vnevh4vE,GOOGLE,cafe,food,point_of_interest,store,217,"11000 Yonge St D2, Richmond Hill",establishment,,,
CLOSED_TEMPORARILY,43.8557296,-79.43036,43.85697372989272,-79.42896857010727,43.85427407010728,-79.43166822989272,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Easy Tea 淺淺茶,,3840,"<a href=""https://maps.google.com/maps/contrib/116537147620396493534"">A Google User</a>",Aap_uEBWKXR2Cfi2BEE6N4jgYSrv2pl373_LkfZhW6UnuoBeXjbxT1eq7g3nJ9J91mWR_WQ_6xYoUIlxIQiao49Wy9VbFrKWCMtNV9qcs8OoSojFY5JK6Z0OFItBp8nwAkSCrnZzWIpBgTC3YjlEYubH4II2tbU2nlc3sqh0C9RWnxVC85Ly,3840,ChIJO0v97m4rK4gRM_Ov_K3s93M,"VH49+7V Richmond Hill, Ontario",87M2VH49+7V,,4.1,ChIJO0v97m4rK4gRM_Ov_K3s93M,GOOGLE,cafe,food,point_of_interest,store,43,"9325 Yonge St Unit 18, Richmond Hill",establishment,,,true
OPERATIONAL,43.8682424,-79.4122478,43.86957772989272,-79.41100017010729,43.86687807010727,-79.41369982989272,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Kung Fu Tea on Bayview,true,4000,"<a href=""https://maps.google.com/maps/contrib/111574623502086735692"">Mike Hoang</a>",Aap_uEB4wN__beSB7daIk7msIjC-9o7G8EoIyErgLXVPkW9pH_6hDDvGCqldw-BJIXKOjGW3wFF3lgMW1GtqbTkT8kWWX63epB6vsgvIKQKZ-IISwK-2Ny9JwoGJaDQilzO-xv0vcAiPZe2-ejtYI5jfIe52mUGwYzyZQJFBtUbhRgbhcrEs,3000,ChIJn9bUu7MrK4gR419aLepXn0o,"VH9Q+74 Richmond Hill, Ontario",87M2VH9Q+74,,4.9,ChIJn9bUu7MrK4gR419aLepXn0o,GOOGLE,cafe,food,point_of_interest,store,174,"9665 Bayview Ave Unit 11, Richmond Hill",establishment,,,
OPERATIONAL,43.8601645,-79.4334855,43.86154477989272,-79.43212492010728,43.85884512010728,-79.43482457989272,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,CoCo Fresh Tea & Juice,true,5472,"<a href=""https://maps.google.com/maps/contrib/101632904829718927428"">A Google User</a>",Aap_uEAm7q_Uo0gSUo_y4ICjQlQ2jKp-_LAgd11O37HAnCGQDTpwHlmrAhtV4h6aYXcMwIAKhU5rbj_6ny7fRXESqP_orIdXHUJ2ORjF04qYzo5xplo-jx5Z76ADhJlrp0zrBLxL1iUJHCcY7QKB_94PKcVxIp8waPomrrk5ccIFIfeBAwE-,3648,ChIJNyZQBQUrK4gRHupKJonOkeo,"VH68+3J Richmond Hill, Ontario",87M2VH68+3J,1,4.1,ChIJNyZQBQUrK4gRHupKJonOkeo,GOOGLE,cafe,food,point_of_interest,store,322,"9555 Yonge St Unit 1, Richmond Hill",establishment,,,
OPERATIONAL,43.8412527,-79.3992092,43.84266277989273,-79.39793562010728,43.83996312010729,-79.40063527989273,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,TRU TEA | 初茶,true,1600,"<a href=""https://maps.google.com/maps/contrib/115043797731387625323"">Ben Li</a>",Aap_uECEBMS7mp5C175psAmAuA-sxnnhL2CVnlTpEXbp6XLcERlB1CJ7kRSSDWK3DnJBV9byeWax2CM9qY943YHvqWAmJ1g0G73Qws9PaFA0l3hyomzkho4Rc8ojChG0y_vAls_OdnqzzdhNUdNCAxAYRwt6GDaeBSbiDxQ5fCFwzXUdBt0Y,1200,ChIJSTQBvOYrK4gRDuE6XO7tO9s,"RJR2+G8 Richmond Hill, Ontario",87M2RJR2+G8,,4.3,ChIJSTQBvOYrK4gRDuE6XO7tO9s,GOOGLE,cafe,food,point_of_interest,establishment,142,"101-330 Hwy 7, Richmond Hill",,,,
OPERATIONAL,43.8506661,-79.3256004,43.85215447989272,-79.32416052010727,43.84945482010728,-79.3268601798927,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,COMEBUY Bubble Tea Markham,true,1080,"<a href=""https://maps.google.com/maps/contrib/103988543001908165809"">Chen-Lin Kuo</a>",Aap_uEDwAiGXXzM972tgR0Jj4sHE3a6PyYU48uG764rhGjmPilKIVMDPjchD_MobYqXnwbsgL4G-0nsjOJmWfSKwdOCI5DeypWDkNwlGTuivnSCNIoecvKdQ8j8eG3iCVzhDn7XgXwJbVCATrl7Rlt-aUtLfZB4QsdRLZCzTg--QBfpo-Ku4,1440,ChIJnfW7RSvV1IkRvVlUSBHb8SA,"VM2F+7Q Markham, Ontario",87M2VM2F+7Q,1,4.7,ChIJnfW7RSvV1IkRvVlUSBHb8SA,GOOGLE,cafe,food,point_of_interest,establishment,225,"8110 Birchmount Rd #4, Markham",,,,
OPERATIONAL,43.862215,-79.4846695,43.86362817989271,-79.48326207010727,43.86092852010727,-79.48596172989272,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Chatime,true,3024,"<a href=""https://maps.google.com/maps/contrib/101951300839467504529"">Sunny Wong</a>",Aap_uEBSHysFntd29sEeYOKaNfLFhaKfSdfb0-_ZoZcuI6inC-72vH2X59c_9lI2Aeky5p83Qx7HfII33IOOsbWqc7s9Y3quC7ARToLWGZnSEO1pmTn0P1tiWLjijXmYKFcAY6L-N_klAP0CLEQ1hamZjW_859RGXcAB2nhIDuG4Jc0ceKJ-,4032,ChIJL3FYEGUpK4gR4CIybeTgvdA,"VG68+V4 Vaughan, Ontario",87M2VG68+V4,1,4,ChIJL3FYEGUpK4gR4CIybeTgvdA,GOOGLE,cafe,food,point_of_interest,establishment,143,"1380 Major MacKenzie Dr W Unit I003, Maple",,,,
OPERATIONAL,44.0247631,-79.4477737,44.02608907989272,-79.44629112010729,44.02338942010727,-79.44899077989272,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Chatime,true,4032,"<a href=""https://maps.google.com/maps/contrib/116029517432428215783"">Jack S</a>",Aap_uEDxLa7ZMXQjL_7deaoo38fX02kr5Dcibyvl6ghDDuhwAkuTdJNwM4wbseYTdHWo6N-pIPf8FrukE0LOTUY8M5uD8RSXS9ud6PtX6srPx9D-fybBXmfHC0loqtPkTiVXscnMy97igmsyOizzmbYJSAzzjaxIBE6GhvvRft2hrFSWg27d,3024,ChIJmfxH4PXTKogRt9f7Qm-1I-8,"2HF2+WV Aurora, Ontario",87P22HF2+WV,1,4,ChIJmfxH4PXTKogRt9f7Qm-1I-8,GOOGLE,cafe,food,point_of_interest,establishment,136,"16025 Bayview Ave Unit C2, Aurora",,,,
OPERATIONAL,43.8686459,-79.3120538,43.86999572989272,-79.31070397010728,43.86729607010728,-79.31340362989272,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Real Fruit Bubble Tea,true,5312,"<a href=""https://maps.google.com/maps/contrib/104060080904857839440"">Joshua Ching</a>",Aap_uEBdDQK19DVI3To6xJ8-u_4dPqDq4ymI__B6mzUVvGp-58duzWU0Dcj-21FHPjYqd8YMW6ykrFNufh3B1Lst9-utR3U1I5CKcbmmgiMCMcKJ9mzz4kqd4dvWCWfq2Rj89z-gZhl727Mb9Z4h62shVd6kNP4EJLcsM0skrq-yXGa2aLc8,2988,ChIJtRF6GMjV1IkRk40RrgGYSbI,"VM9Q+F5 Markham, Ontario",87M2VM9Q+F5,,3.7,ChIJtRF6GMjV1IkRk40RrgGYSbI,GOOGLE,cafe,food,point_of_interest,establishment,242,"209 1 Main St Unionville #1, Unionville",,,,
OPERATIONAL,43.8539511,-79.3374889,43.85524167989272,-79.33609432010728,43.85254202010728,-79.33879397989273,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,OneZo Tapioca 丸作,true,4335,"<a href=""https://maps.google.com/maps/contrib/115248424379753394642"">A Google User</a>",Aap_uECzijh7VxjWtO_JkBj5phTJLcwD9Fqpsi6X8lKSnO5R923Pn6NDZRyMe6BoAaGyL2SUv5piMljZO1oo-a_1y3o4wGMcyuiIa6i0TLDW111517Jn5D-DBlQnUbIOSnoh7mAtzOq_rTq3bwVNKaXpdqAeyDrioAZ9M88b2HC_fwvVIwSJ,4335,ChIJpcizibLV1IkRXCemDJOKpgY,"VM37+H2 Markham, Ontario",87M2VM37+H2,1,4.2,ChIJpcizibLV1IkRXCemDJOKpgY,GOOGLE,cafe,restaurant,food,point_of_interest,310,"3621 Hwy 7 Unit 120, Markham",store,establishment,,
OPERATIONAL,43.8280698,-79.5370583,43.82947077989272,-79.53572802010729,43.82677112010728,-79.53842767989272,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Chatime,true,960,"<a href=""https://maps.google.com/maps/contrib/108535723251021159164"">Gerald Cho</a>",Aap_uEBOT-lhgDXn-fw4pmhoQ3-pDxqfeYucn2LhwWweCvTY3oy085FzmW-IH1RILuCBF6zVBLPEb3QR-JLe7OEfVdb6Imo8JzZIqiNEcPGEOQszU192_lI9NLkmmQvWT9mWQTXPYnno9Xr3xLCyZ20qBLRM8IKo2V9Qgw1rNPiN75hTd4Xx,720,ChIJ3aPJhEAvK4gRRwVUsNq6q8s,"RFH7+65 Vaughan, Ontario",87M2RFH7+65,1,4.3,ChIJ3aPJhEAvK4gRRwVUsNq6q8s,GOOGLE,cafe,food,point_of_interest,store,771,"3175 Rutherford Rd Unit #31, Concord",establishment,,,
OPERATIONAL,43.8419213,-79.3865716,43.84334787989273,-79.38524502010728,43.84064822010728,-79.38794467989273,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,TP Tea (Commerce Gate),true,4032,"<a href=""https://maps.google.com/maps/contrib/106030856213358405511"">Jerusha Chua</a>",Aap_uEBYsKRuSJxWNzaD_KmjK7S6XcMmiPc9lvVj2BipdMudmYcj83vqUBFHKobcP-Aj4bM7E4Cpg94IyM7yjnJJAxduZgsN71cSmdOMzV7oYAdhk00U4T48DWtVcuN7A9z4fBB-2RCO0eLSPaYE91DEgUTFGmv2yTw_kaqMj8fVXfi2M_fH,3024,ChIJN8-3UTorK4gRu7GQuzdNNdI,"RJR7+Q9 Markham, Ontario",87M2RJR7+Q9,,4.7,ChIJN8-3UTorK4gRu7GQuzdNNdI,GOOGLE,cafe,food,point_of_interest,establishment,171,"505 Hwy 7 Unit 86, Thornhill",,,,
OPERATIONAL,43.8425718,-79.3871839,43.84393992989272,-79.38606712010728,43.84124027010728,-79.38876677989272,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Chatime,true,3024,"<a href=""https://maps.google.com/maps/contrib/117011113340291992473"">Wynneth</a>",Aap_uEA7MVs4E5hLqfF5m1d3SveJ5kljZjHny3ebxQgaeB9mn2q-pXPmy6g2ZbdTr8NIfGm2u-dqRHW5oa16MbA7kGbDF4fWMND5BBneq-UZMuiyB7sen2jY8yiBES64etjjjmLY7mVJAXU2EVPUVzTTo9f2lKuRBnvFWkZg92amtqEu9NLh,4032,ChIJW6aBnU4rK4gRzUtvsUT5wUA,"RJV7+24 Markham, Ontario",87M2RJV7+24,1,3.9,ChIJW6aBnU4rK4gRzUtvsUT5wUA,GOOGLE,cafe,food,point_of_interest,store,638,"505 Hwy 7 #22, Thornhill",establishment,,,
OPERATIONAL,43.8450918,-79.384709,43.84627947989272,-79.38325357010727,43.84357982010728,-79.38595322989272,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Song Tea,true,4032,"<a href=""https://maps.google.com/maps/contrib/102046924282250080858"">Ben Yang</a>",Aap_uEBRdpyOU-UQEE3pY0IJhOigyL8ZaSZNcbUgJmhE5WsoO7sLAH7Pj6qKCenFwQXxgaO5UsNu4vtRHzIrD4fkYcj5-SjsK_Fm9jja-LpSrRpzTNNqHYgyFdi5ageb9aQSZrj0gUviyZ5I2DZ5c3pio-XCXIxzNQErX2k0FNbrgtamlEI5,3024,ChIJYSzCXhgrK4gROWKgi1lH6QI,"RJW8+24 Richmond Hill, Ontario",87M2RJW8+24,,4.1,ChIJYSzCXhgrK4gROWKgi1lH6QI,GOOGLE,cafe,food,point_of_interest,establishment,166,"550 Hwy 7 Unit 83, Richmond Hill",,,,
OPERATIONAL,43.8425045,-79.3867523,43.84368037989272,-79.38542977010728,43.84098072010728,-79.38812942989271,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,The Alley,true,4160,"<a href=""https://maps.google.com/maps/contrib/118105876591353004104"">Cindy Hoang</a>",Aap_uEAhaJ9UvVj5svNyVW2qcl2rX1woHtorW1TMyn75116MWU4zGvv3M1ZohLWeVkXKMIuRuPG0HzFoQK7ppuM_MwVx-UOyJ3ldF9fLNRv7z-RMie6olW_9zHrEEiOe7H-Ag4QaKCKEN6MjfStkmFpiGLaINT2mlPhrZvq8kHrbvJO5lHzG,2340,ChIJzzuUl04rK4gRJhWtGlHseSY,"RJV7+27 Markham, Ontario",87M2RJV7+27,,4.4,ChIJzzuUl04rK4gRJhWtGlHseSY,GOOGLE,cafe,food,point_of_interest,establishment,790,"505 Hwy 7 #16, Thornhill",,,,
OPERATIONAL,43.7969487,-79.42665939999999,43.79824962989272,-79.42528812010728,43.79554997010728,-79.42798777989272,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,TEA SHOP 168,true,4032,"<a href=""https://maps.google.com/maps/contrib/109053544084252499836"">Terrilynn Ho</a>",Aap_uEDESMSVLs45ECdCZLAc410XwYrYIv2yhqC767juxba5C7MuVT3jtAUlE0dmoNT8tw2KOGfMLcid7N0UJ6yhgpWd58RpElhhaH4Viw3B2A6r4qeblPRNOuBxugjRsDVRV-cO_O-lGxt2j94jAqcaGdwD2297c25gn11iGKPNvLV_M2PQ,3024,ChIJ1cWLaVUsK4gRE8YqlLPQDQM,"QHWF+Q8 Vaughan, Ontario",87M2QHWF+Q8,1,3.5,ChIJ1cWLaVUsK4gRE8YqlLPQDQM,GOOGLE,cafe,food,point_of_interest,establishment,289,"180 Steeles Ave W Unit 25, Thornhill",,,,
OPERATIONAL,43.8048784,-79.2880338,43.80611077989273,-79.28669972010728,43.80341112010728,-79.28939937989273,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Boba Boy,true,4640,"<a href=""https://maps.google.com/maps/contrib/106537489372706142066"">Anna Yu</a>",Aap_uEBZiUb_EmdEjBoKA3MiVuwOHSOFuNMzUh8MWizkLDgZ2bATvSsWz5gnEtD5vPE24WevE1CADHhsXy06kfDClc-6AOl25HcAhvfjmYJtBdYhLsm9cg0Q3sHv8OlsOyZF5Y1CxTOIgeCFzg5ptGdMFSybq6YyheHa9mZR7H0beP4s330L,3480,ChIJsfSeF1_R1IkREnQguuFT7bQ,"RP36+XQ Scarborough, Toronto, ON",87M2RP36+XQ,2,4,ChIJsfSeF1_R1IkREnQguuFT7bQ,GOOGLE,cafe,food,point_of_interest,establishment,703,Scarborough,,,,
OPERATIONAL,43.7960335,-79.43179649999999,43.79731327989272,-79.43030902010726,43.79461362010728,-79.43300867989271,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Palgong Tea,true,1334,"<a href=""https://maps.google.com/maps/contrib/110598602278041752677"">Iookwat</a>",Aap_uEBdEOmGMQrmCmFRY9ulM1CQQ6ofySI90grQG4WnqNTCmYikvg-lD0mD2CnJyth8Wlfjbt6ZgJiRZX2_UakIXUg96Xj3pRx1_PqmhRDqbzSmyVtRtLxtG4Urd2Z69DRMZxPqD3RtC5SnQnR6S-nvuFbmmrnz-NrCZpaWo9l1LmwLc9Pl,750,ChIJGbAIFkctK4gRXjH_xvCkXGs,"QHW9+C7 Vaughan, Ontario",87M2QHW9+C7,,4.5,ChIJGbAIFkctK4gRXjH_xvCkXGs,GOOGLE,cafe,food,point_of_interest,establishment,103,"330 Steeles Ave W Unit A4, Thornhill",,,,
